"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.339965780E-1,2.872209437E-2,-2.640080824E-2,2.179259807E-2,4.468644886E-2
5.364407970E-1,2.627863549E-2,-3.128772601E-2,2.179259807E-2,4.630772951E-2
5.388857970E-1,2.933296002E-2,-3.189859167E-2,2.179259807E-2,4.850628851E-2
5.413316300E-1,2.444604225E-2,-3.678550944E-2,2.240346372E-2,4.952471982E-2
5.437766820E-1,2.933296002E-2,-3.678550944E-2,2.362519316E-2,5.264737411E-2
5.462209010E-1,2.383517660E-2,-3.922896832E-2,2.301432937E-2,5.134868018E-2
5.486659530E-1,2.505690791E-2,-3.617464378E-2,2.484692261E-2,5.053536435E-2
5.511117860E-1,2.383517660E-2,-3.739637509E-2,2.484692261E-2,5.083280512E-2
5.535567860E-1,2.261344902E-2,-3.678550944E-2,2.423605695E-2,4.951694900E-2
5.560010050E-1,2.505690791E-2,-3.617464378E-2,2.484692261E-2,5.053536435E-2
5.584460570E-1,2.078085579E-2,-3.495291620E-2,2.423605695E-2,4.733853373E-2
5.608918900E-1,2.505690791E-2,-3.434205055E-2,2.362519316E-2,4.863511923E-2
5.633368900E-1,1.955912448E-2,-3.189859167E-2,2.240346372E-2,4.361186407E-2
5.657811610E-1,2.383517660E-2,-2.762253955E-2,2.240346372E-2,4.281396410E-2
5.682261610E-1,1.833739504E-2,-2.762253955E-2,1.996000484E-2,3.869969691E-2
5.706719950E-1,2.078085579E-2,-2.578994446E-2,1.934913918E-2,3.835823757E-2
5.731170470E-1,1.955912448E-2,-2.517908067E-2,1.934913918E-2,3.729523617E-2
5.755612650E-1,1.772653125E-2,-2.212475613E-2,1.751654595E-2,3.332512755E-2
5.780062650E-1,1.833739504E-2,-1.845956780E-2,1.812741160E-2,3.171149242E-2
5.804520990E-1,1.345047727E-2,-1.418351475E-2,1.568395272E-2,2.506140065E-2
5.828971510E-1,1.589393616E-2,-8.074869402E-3,1.568395272E-2,2.374462245E-2
5.853413700E-1,1.039615367E-2,-6.242274307E-3,1.446222235E-2,1.887331118E-2
5.877863700E-1,1.467220671E-2,1.698966371E-3,1.385135762E-2,2.024895663E-2
5.902322030E-1,8.563559502E-3,5.364156328E-3,1.262962818E-2,1.617455509E-2
5.926772550E-1,8.563559502E-3,1.147280168E-2,1.140789874E-2,1.830573362E-2
