"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.083198110E-1,5.944783688E-1,-7.739235401E0,6.439480305E0,1.008543880E1
4.107253320E-1,5.849020481E-1,-7.739235401E0,5.874473095E0,9.733822946E0
4.131305920E-1,5.442023277E-1,-7.751205921E0,6.382021904E0,1.005522516E1
4.155355920E-1,5.920842886E-1,-7.755994320E0,6.111488819E0,9.892234696E0
4.179409050E-1,5.801137686E-1,-7.763176441E0,6.032483578E0,9.848568351E0
4.203465300E-1,5.681433678E-1,-7.784723282E0,6.382021904E0,1.008240582E1
4.227527280E-1,5.968724489E-1,-7.784723282E0,5.838561535E0,9.749203767E0
4.251581970E-1,5.753256083E-1,-7.782329559E0,6.350898743E0,1.006129056E1
4.275633010E-1,5.944783688E-1,-7.782329559E0,5.994177818E0,9.841149609E0
4.299694470E-1,5.729315281E-1,-7.803876400E0,6.034877777E0,9.881724909E0
4.323750720E-1,5.801137686E-1,-7.796693802E0,6.310198784E0,1.004706798E1
4.347802800E-1,5.992666483E-1,-7.760782242E0,5.790679455E0,9.701589049E0
4.371859570E-1,5.777196884E-1,-7.796693802E0,6.350898743E0,1.007254234E1
4.395915820E-1,6.016607285E-1,-7.784723282E0,5.939114094E0,9.810045282E0
4.419975200E-1,5.920842886E-1,-7.779935360E0,6.058818817E0,9.878625586E0
4.444031450E-1,5.896902084E-1,-7.777541161E0,6.226405144E0,9.980280660E0
4.468082490E-1,6.064488888E-1,-7.782329559E0,5.783497334E0,9.715002575E0
4.492140820E-1,5.872961283E-1,-7.799088001E0,6.329351902E0,1.006138091E1
4.516197070E-1,6.088429689E-1,-7.775146961E0,5.896019936E0,9.776842594E0
4.540251240E-1,6.064488888E-1,-7.803876400E0,6.109095097E0,9.929214975E0
4.564305400E-1,5.992666483E-1,-7.799088001E0,6.224011421E0,9.996159880E0
4.588358010E-1,6.160253286E-1,-7.794299603E0,5.833773613E0,9.755178526E0
4.612414780E-1,6.136312485E-1,-7.808664322E0,6.398780823E0,1.011415730E1
4.636469990E-1,6.351780891E-1,-7.782329559E0,5.876867294E0,9.772700434E0
4.660523630E-1,6.208134890E-1,-7.794299603E0,6.176129341E0,9.963989629E0
4.684585610E-1,6.351780891E-1,-7.796693802E0,6.183311939E0,9.971220185E0
4.708642380E-1,6.495426893E-1,-7.787117481E0,5.896019936E0,9.788981329E0
4.732698110E-1,6.303899288E-1,-7.823029041E0,6.377233982E0,1.011267957E1
4.756758010E-1,6.663013697E-1,-7.801481724E0,5.852926254E0,9.775674930E0
4.780810610E-1,6.399662495E-1,-7.815846920E0,6.219223499E0,1.000878418E1
4.804863740E-1,6.543308496E-1,-7.806270123E0,6.125853539E0,9.944449892E0
4.828915820E-1,6.256016493E-1,-7.808664322E0,5.917566776E0,9.817546153E0
4.852962700E-1,6.256016493E-1,-7.825422764E0,6.389204502E0,1.012178606E1
4.877018950E-1,6.351780891E-1,-7.784723282E0,5.833773613E0,9.748757990E0
4.901073110E-1,6.064488888E-1,-7.818240643E0,6.257528782E0,1.003241414E1
4.925123110E-1,5.992666483E-1,-7.801481724E0,6.077971458E0,9.907773446E0
4.949174670E-1,5.657491684E-1,-7.782329559E0,5.951084614E0,9.813263146E0
4.973223110E-1,5.681433678E-1,-7.811058521E0,6.370051384E0,1.009519573E1
4.997276760E-1,5.849020481E-1,-7.794299603E0,5.840955734E0,9.757560176E0
5.021327800E-1,5.681433678E-1,-7.784723282E0,6.295834541E0,1.002807240E1
