"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.161636990E-1,5.436696112E-2,-5.561953783E-2,1.710420847E-2,7.963575452E-2
4.186079700E-1,5.436696112E-2,-4.645656422E-2,1.649334654E-2,7.338943589E-2
4.210529700E-1,4.886918142E-2,-4.645656422E-2,1.527161431E-2,6.913487872E-2
4.234988030E-1,5.070177466E-2,-4.156964645E-2,1.404988673E-2,6.705299976E-2
4.259438030E-1,4.642572254E-2,-4.279137775E-2,1.343902200E-2,6.455274615E-2
4.283880220E-1,4.581485689E-2,-3.851532191E-2,1.343902200E-2,6.134360966E-2
4.308330740E-1,4.459312558E-2,-3.668272868E-2,1.221729256E-2,5.902060377E-2
4.332788550E-1,4.031707346E-2,-3.240667656E-2,1.282815635E-2,5.329372096E-2
4.357239070E-1,4.214967042E-2,-3.118494712E-2,1.282815635E-2,5.397830341E-2
4.381681260E-1,3.665188700E-2,-2.935235202E-2,1.282815635E-2,4.867733544E-2
4.406131780E-1,3.787361458E-2,-2.690889314E-2,1.282815635E-2,4.819814111E-2
4.430589590E-1,3.237583116E-2,-2.813062444E-2,1.343902200E-2,4.494589845E-2
4.455040110E-1,3.237583116E-2,-2.385457046E-2,1.466075052E-2,4.280388511E-2
4.479482300E-1,2.871064469E-2,-2.446543425E-2,1.466075052E-2,4.046969480E-2
4.503932300E-1,2.809977904E-2,-2.141111158E-2,1.404988673E-2,3.801884530E-2
4.528390630E-1,2.687805146E-2,-2.324370667E-2,1.466075052E-2,3.844004625E-2
4.552840630E-1,2.321286127E-2,-2.080024779E-2,1.466075052E-2,3.444451832E-2
4.577283340E-1,2.504545450E-2,-2.202197537E-2,1.588248089E-2,3.693907673E-2
4.601733340E-1,2.015853673E-2,-2.080024779E-2,1.404988673E-2,3.219341902E-2
4.626191670E-1,2.260199562E-2,-1.835678890E-2,1.404988673E-2,3.232988125E-2
4.650641670E-1,1.710421406E-2,-1.774592325E-2,1.160642691E-2,2.724300050E-2
4.675083860E-1,1.954767480E-2,-1.285900641E-2,1.038469747E-2,2.559897611E-2
4.699534380E-1,1.343902573E-2,-1.346987206E-2,9.773833677E-3,2.139094880E-2
4.723992720E-1,1.404989138E-2,-1.224814076E-2,8.552104235E-3,2.050743491E-2
4.748442720E-1,1.221729629E-2,-1.285900641E-2,5.497780163E-3,1.856992087E-2
4.772884900E-1,1.038470119E-2,-1.224814076E-2,4.276050720E-3,1.661756843E-2
4.797335420E-1,1.160643063E-2,-1.530246530E-2,1.832591835E-3,1.929334261E-2
4.821793240E-1,5.497783888E-3,-1.713505760E-2,1.832591835E-3,1.808851070E-2
4.846243760E-1,6.108648609E-3,-1.774592325E-2,-6.108670495E-4,1.877782039E-2
4.870685950E-1,1.832595561E-3,-2.324370667E-2,-1.832596492E-3,2.338774714E-2
4.895135950E-1,4.276054446E-3,-2.202197537E-2,-3.665191121E-3,2.273072077E-2
4.919594280E-1,6.108661182E-4,-2.629802935E-2,-3.665191121E-3,2.655923815E-2
4.944044800E-1,1.221730839E-3,-2.385457046E-2,-4.276054911E-3,2.426556828E-2
4.968486990E-1,-1.832592767E-3,-2.507629991E-2,-3.054325469E-3,2.532801053E-2
4.992936990E-1,-3.665186930E-3,-2.446543425E-2,-4.276054911E-3,2.510529255E-2
5.017395320E-1,-2.443457488E-3,-2.385457046E-2,-3.665191121E-3,2.425787795E-2
5.041845320E-1,-6.108645815E-3,-2.446543425E-2,-4.276054911E-3,2.557650626E-2
5.066288030E-1,-4.276051652E-3,-2.080024779E-2,-4.886920564E-3,2.179029413E-2
5.090738030E-1,-9.162969887E-3,-2.385457046E-2,-2.443461679E-3,2.567043151E-2
5.115196360E-1,-7.330375258E-3,-2.018938214E-2,-2.443461679E-3,2.161749424E-2
5.139646360E-1,-1.282815821E-2,-1.957851648E-2,-1.832596492E-3,2.347846589E-2
5.164088550E-1,-1.221729256E-2,-1.713505760E-2,-2.443461679E-3,2.118591375E-2
5.188539070E-1,-1.343902200E-2,-1.713505760E-2,-3.054325469E-3,2.198968884E-2
5.212997400E-1,-1.343902200E-2,-1.408073585E-2,-2.443461679E-3,1.961746517E-2
5.237447400E-1,-1.343902200E-2,-1.041554753E-2,-2.328306437E-9,1.700267458E-2
5.261889590E-1,-1.649334654E-2,-7.972088642E-3,6.108623929E-4,1.832915247E-2
5.286340110E-1,-1.466075145E-2,-1.863441197E-3,6.108623929E-4,1.479132174E-2
5.310797920E-1,-1.893680543E-2,-3.085170640E-3,1.221727114E-3,1.922533471E-2
5.335248450E-1,-1.404988766E-2,1.801747130E-3,1.832591835E-3,1.428299789E-2
5.359690630E-1,-1.893680543E-2,1.801747130E-3,3.054321278E-3,1.926597444E-2
5.384140630E-1,-1.710421033E-2,4.245205782E-3,4.276050720E-3,1.813450835E-2
5.408598970E-1,-2.015853301E-2,3.023478435E-3,6.108644884E-3,2.127964796E-2
5.433049490E-1,-2.138026431E-2,3.023478435E-3,6.719509605E-3,2.261435237E-2
5.457491670E-1,-2.076939866E-2,4.245205782E-3,8.552104235E-3,2.285887529E-2
5.481941670E-1,-2.443458512E-2,1.801747130E-3,8.552104235E-3,2.595060172E-2
5.506400010E-1,-2.076939866E-2,3.634340363E-3,9.162968025E-3,2.298991809E-2
5.530850530E-1,-2.382372320E-2,1.190881478E-3,8.552104235E-3,2.534021453E-2
5.555292720E-1,-2.015853301E-2,3.023478435E-3,7.941238582E-3,2.187626899E-2
5.579742720E-1,-2.382372320E-2,2.412612783E-3,8.552104235E-3,2.542693403E-2
5.604201050E-1,-2.138026431E-2,3.634340363E-3,7.941238582E-3,2.309518136E-2
5.628651050E-1,-2.138026431E-2,4.856071435E-3,7.941238582E-3,2.331867068E-2
5.653093760E-1,-2.076939866E-2,7.910395972E-3,7.330374327E-3,2.340249288E-2
5.677543760E-1,-1.832594164E-2,1.218644809E-2,6.108644884E-3,2.283999116E-2
5.702002090E-1,-2.199112624E-2,1.401904132E-2,3.665185999E-3,2.633584518E-2
5.726452090E-1,-1.832594164E-2,2.012768760E-2,3.054321278E-3,2.739147356E-2
5.750894280E-1,-2.138026431E-2,2.134941891E-2,-6.108670495E-4,3.022063117E-2
5.775344800E-1,-1.893680543E-2,2.684720233E-2,-2.443461679E-3,3.294458040E-2
5.799803130E-1,-2.138026431E-2,2.562547103E-2,-4.276054911E-3,3.364617531E-2
5.824253130E-1,-1.954766735E-2,2.745806798E-2,-6.719513796E-3,3.436871633E-2
5.848695320E-1,-2.015853301E-2,2.562547103E-2,-9.773838334E-3,3.403761352E-2
5.873145840E-1,-1.832594164E-2,2.501460537E-2,-9.162972681E-3,3.233466696E-2
5.897603650E-1,-1.649334654E-2,2.440374345E-2,-1.099556778E-2,3.144003316E-2
5.922054170E-1,-1.954766735E-2,2.257115021E-2,-1.466075610E-2,3.326418330E-2
5.946496360E-1,-1.404988766E-2,2.134941891E-2,-1.527161989E-2,2.977279639E-2
5.970946880E-1,-1.893680543E-2,1.768423244E-2,-1.771507785E-2,3.138723722E-2
5.995404700E-1,-1.343902200E-2,1.707336679E-2,-1.588248461E-2,2.691394589E-2
6.019855220E-1,-1.649334654E-2,1.462990697E-2,-1.771507785E-2,2.828230262E-2
6.044297400E-1,-1.282815821E-2,1.279731374E-2,-1.710421592E-2,2.491760591E-2
6.068747400E-1,-1.343902200E-2,1.157558244E-2,-1.649335027E-2,2.422048770E-2
6.093205740E-1,-1.527161710E-2,1.157558244E-2,-1.588248461E-2,2.488914854E-2
6.117655740E-1,-1.099556312E-2,9.742989205E-3,-1.466075610E-2,2.075490343E-2
6.142098450E-1,-1.466075145E-2,9.742989205E-3,-1.404989045E-2,2.252249749E-2
6.166548450E-1,-9.162969887E-3,7.299530320E-3,-1.343902666E-2,1.782836497E-2
6.191006780E-1,-1.282815821E-2,4.856071435E-3,-1.221729722E-2,1.836859887E-2
6.215456780E-1,-6.108645815E-3,6.077799015E-3,-1.099556778E-2,1.396988566E-2
6.239899490E-1,-8.552104235E-3,4.245205782E-3,-9.773838334E-3,1.366338811E-2
6.264349490E-1,-7.941240445E-3,9.132123552E-3,-1.038470212E-2,1.594681845E-2
6.288807820E-1,-1.099556312E-2,1.157558244E-2,-7.941243239E-3,1.783142903E-2
6.313257820E-1,-1.221729256E-2,1.890596002E-2,-4.886920564E-3,2.303431255E-2
6.337700010E-1,-1.221729256E-2,2.684720233E-2,-3.665191121E-3,2.972319190E-2
6.362150530E-1,-1.588248275E-2,3.723190352E-2,-1.221731771E-3,4.049642610E-2
6.386608860E-1,-1.282815821E-2,5.128179118E-2,1.221727114E-3,5.287604720E-2
6.411058860E-1,-1.710421033E-2,6.166649610E-2,5.497780163E-3,6.423033815E-2
